MC,CELKEM_PS,PS_ZPS,RES_PS,MIX_PS,VIS_PS,OTH_PS,RES_PS_ZPS,MIX_PS_ZPS,VIS_PS_ZPS,OTH_PS_ZPS,POCINVST,PA_cnt,IB_cnt,date
P02,12096,11490,7624,4472,0,0,7278,4212,0,0,119,125,0,2018-11-01
P03,14989,14395,10457,4532,0,0,10037,4358,0,0,175,122,0,2018-11-01
P04,16573,15793,8624,7720,229,0,8211,7370,212,0,282,142,0,2018-11-01
P05,9358,8804,4105,5012,241,0,3922,4666,216,0,177,110,0,2018-11-01
P06,18548,17657,11123,7420,5,0,10707,6945,5,0,217,165,0,2018-11-01
P07,9560,9149,6888,2130,542,0,6530,2099,520,0,88,90,0,2018-11-01
P08,13937,13413,8791,5037,109,0,8533,4786,94,0,168,96,0,2018-11-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-11-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-11-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-11-01
P01,8682,8026,6555,2096,0,31,6078,1930,0,18,197,90,0,2018-12-01
P02,12120,11515,7648,4472,0,0,7303,4212,0,0,119,125,0,2018-12-01
P03,14947,14354,10431,4516,0,0,10010,4344,0,0,171,123,0,2018-12-01
P04,16586,15807,8637,7720,229,0,8225,7370,212,0,282,142,0,2018-12-01
P05,10172,9599,4883,5063,226,0,4682,4710,207,0,187,111,0,2018-12-01
P06,21897,20920,13544,8348,5,0,13079,7836,5,0,252,189,0,2018-12-01
P07,9638,9226,6901,2158,579,0,6545,2127,554,0,89,93,0,2018-12-01
P08,15121,14539,9815,5197,109,0,9507,4938,94,0,177,99,0,2018-12-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2018-12-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2018-12-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2018-12-01
P01,8668,8014,6542,2095,0,31,6067,1929,0,18,197,90,0,2019-01-01
P02,12109,11492,7645,4464,0,0,7291,4201,0,0,119,125,0,2019-01-01
P03,14960,14366,10444,4516,0,0,10019,4347,0,0,175,123,0,2019-01-01
P04,16588,15809,8637,7722,229,0,8225,7372,212,0,282,142,0,2019-01-01
P05,10153,9575,4865,5062,226,0,4660,4708,207,0,187,111,0,2019-01-01
P06,21907,20943,13562,8340,5,0,13099,7839,5,0,250,189,0,2019-01-01
P07,9643,9232,6918,2147,578,0,6564,2116,552,0,89,94,0,2019-01-01
P08,15192,14608,9815,5268,109,0,9509,5005,94,0,177,99,0,2019-01-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-01-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-01-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-01-01
P01,8667,8013,6543,2093,0,31,6068,1927,0,18,196,90,0,2019-02-01
P02,12109,11492,7645,4464,0,0,7292,4200,0,0,119,125,0,2019-02-01
P03,14948,14354,10444,4504,0,0,10019,4335,0,0,176,123,0,2019-02-01
P04,16588,15810,8637,7722,229,0,8225,7373,212,0,283,142,0,2019-02-01
P05,10153,9577,4865,5062,226,0,4662,4708,207,0,187,111,0,2019-02-01
P06,21886,20922,13554,8327,5,0,13091,7826,5,0,250,189,0,2019-02-01
P07,9632,9221,6918,2136,578,0,6565,2104,552,0,87,94,0,2019-02-01
P08,15190,14606,9813,5268,109,0,9507,5005,94,0,177,99,0,2019-02-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-02-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-02-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-02-01
P01,8669,8016,6545,2093,0,31,6072,1926,0,18,196,90,0,2019-03-01
P02,12107,11488,7659,4448,0,0,7304,4184,0,0,119,125,0,2019-03-01
P03,14961,14365,10450,4511,0,0,10024,4341,0,0,176,122,0,2019-03-01
P04,16588,15810,8637,7722,229,0,8225,7373,212,0,283,142,0,2019-03-01
P05,10035,9472,4856,4953,226,0,4657,4609,206,0,185,111,0,2019-03-01
P06,21936,20975,13567,8364,5,0,13106,7864,5,0,250,189,0,2019-03-01
P07,9632,9222,6918,2136,578,0,6566,2104,552,0,87,94,0,2019-03-01
P08,15189,14606,9812,5268,109,0,9506,5006,94,0,177,99,0,2019-03-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-03-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-03-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-03-01
P01,8667,8014,6541,2095,0,31,6068,1928,0,18,195,90,0,2019-04-01
P02,12116,11491,7668,4448,0,0,7307,4184,0,0,119,125,0,2019-04-01
P03,14960,14364,10448,4512,0,0,10021,4343,0,0,176,122,0,2019-04-01
P04,16548,15760,8642,7677,229,0,8230,7318,212,0,280,142,0,2019-04-01
P05,10140,9573,4856,5058,226,0,4658,4709,206,0,191,111,0,2019-04-01
P06,21941,20968,13570,8366,5,0,13103,7860,5,0,248,189,0,2019-04-01
P07,9632,9225,6918,2136,578,0,6569,2104,552,0,87,94,0,2019-04-01
P08,15190,14610,9813,5268,109,0,9509,5007,94,0,177,99,0,2019-04-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-04-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-04-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-04-01
P01,8647,7999,6521,2095,0,31,6051,1930,0,18,189,90,0,2019-05-01
P02,12064,11439,7632,4432,0,0,7271,4168,0,0,119,125,0,2019-05-01
P03,14961,14362,10449,4512,0,0,10019,4343,0,0,178,122,0,2019-05-01
P04,16337,15555,8616,7492,229,0,8206,7137,212,0,280,141,0,2019-05-01
P05,10140,9573,4894,5020,226,0,4695,4672,206,0,191,111,0,2019-05-01
P06,21932,20968,13561,8366,5,0,13098,7865,5,0,248,189,0,2019-05-01
P07,9632,9224,6918,2136,578,0,6568,2104,552,0,87,94,0,2019-05-01
P08,15188,14611,9811,5268,109,0,9510,5007,94,0,177,99,0,2019-05-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-05-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-05-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-05-01
P01,8646,7998,6520,2095,0,31,6050,1930,0,18,189,90,0,2019-06-01
P02,12086,11407,7654,4432,0,0,7291,4116,0,0,119,125,0,2019-06-01
P03,14993,14393,10481,4512,0,0,10050,4343,0,0,176,122,0,2019-06-01
P04,16318,15535,8594,7495,229,0,8183,7140,212,0,282,141,0,2019-06-01
P05,10140,9569,4894,5020,226,0,4695,4668,206,0,191,112,0,2019-06-01
P06,21909,20943,13541,8363,5,0,13076,7862,5,0,249,188,0,2019-06-01
P07,9715,9288,6918,2219,578,0,6570,2166,552,0,87,95,0,2019-06-01
P08,15188,14610,9811,5268,109,0,9509,5007,94,0,177,99,0,2019-06-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-06-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-06-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-06-01
P01,8647,8003,6520,2096,0,31,6054,1931,0,18,189,90,0,2019-07-01
P02,12044,11364,7703,4341,0,0,7336,4028,0,0,118,125,0,2019-07-01
P03,14993,14393,10481,4512,0,0,10050,4343,0,0,175,122,0,2019-07-01
P04,16578,15792,8839,7510,229,0,8426,7154,212,0,282,141,0,2019-07-01
P05,10136,9565,4890,5020,226,0,4691,4668,206,0,191,112,0,2019-07-01
P06,21906,20933,13537,8364,5,0,13070,7858,5,0,249,188,0,2019-07-01
P07,9717,9289,6918,2219,580,0,6569,2166,554,0,93,95,0,2019-07-01
P08,15178,14599,9802,5267,109,0,9499,5006,94,0,175,99,0,2019-07-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-07-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-07-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-07-01
P01,8645,8004,6520,2094,0,31,6060,1926,0,18,189,90,0,2019-08-01
P02,12046,11365,7705,4341,0,0,7336,4029,0,0,118,125,0,2019-08-01
P03,14994,14390,10482,4512,0,0,10047,4343,0,0,175,122,0,2019-08-01
P04,16334,15619,8602,7503,229,0,8221,7184,214,0,214,141,0,2019-08-01
P05,10136,9564,4890,5020,226,0,4691,4667,206,0,191,112,0,2019-08-01
P06,21912,20939,13543,8364,5,0,13076,7858,5,0,249,188,0,2019-08-01
P07,9717,9289,6918,2219,580,0,6569,2166,554,0,93,95,0,2019-08-01
P08,15165,14584,9788,5268,109,0,9483,5007,94,0,175,99,0,2019-08-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-08-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-08-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-08-01
P01,8629,7993,6494,2104,0,31,6037,1938,0,18,188,90,0,2019-09-01
P02,12044,11361,7705,4339,0,0,7335,4026,0,0,118,125,0,2019-09-01
P03,14953,14360,10441,4512,0,0,10016,4344,0,0,174,122,0,2019-09-01
P04,16331,15635,8599,7503,229,0,8226,7195,214,0,194,141,0,2019-09-01
P05,10138,9574,4890,5022,226,0,4698,4670,206,0,191,112,0,2019-09-01
P06,21889,20915,13520,8364,5,0,13054,7856,5,0,249,188,0,2019-09-01
P07,9717,9292,6918,2219,580,0,6572,2166,554,0,94,95,0,2019-09-01
P08,15165,14590,9788,5268,109,0,9488,5008,94,0,175,99,0,2019-09-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-09-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-09-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-09-01
P01,8621,8006,6489,2101,0,31,6040,1948,0,18,188,90,0,2019-10-01
P02,12026,11351,7688,4338,0,0,7326,4025,0,0,120,125,0,2019-10-01
P03,14918,14322,10458,4460,0,0,10030,4292,0,0,172,122,0,2019-10-01
P04,16316,15627,8599,7488,229,0,8229,7184,214,0,194,141,0,2019-10-01
P05,10129,9566,4881,5022,226,0,4689,4671,206,0,191,112,0,2019-10-01
P06,21879,20907,13520,8354,5,0,13056,7846,5,0,250,188,0,2019-10-01
P07,9715,9290,6917,2218,580,0,6571,2165,554,0,94,95,0,2019-10-01
P08,14983,14410,9824,5050,109,0,9525,4791,94,0,175,99,0,2019-10-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-10-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-10-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-10-01
P01,8641,8019,6499,2111,0,31,6045,1956,0,18,189,90,0,2019-11-01
P02,12025,11352,7687,4338,0,0,7327,4025,0,0,118,125,0,2019-11-01
P03,14927,14330,10458,4469,0,0,10030,4300,0,0,171,122,0,2019-11-01
P04,16316,15625,8599,7488,229,0,8228,7183,214,0,194,141,0,2019-11-01
P05,12742,12149,7380,5136,226,0,7159,4784,206,0,198,117,0,2019-11-01
P06,25979,24920,17108,8866,5,0,16574,8341,5,0,266,200,0,2019-11-01
P07,9715,9289,6917,2218,580,0,6570,2165,554,0,94,95,0,2019-11-01
P08,14979,14406,9820,5050,109,0,9521,4791,94,0,175,99,0,2019-11-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-11-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-11-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-11-01
P01,8641,8020,6497,2113,0,31,6044,1958,0,18,188,90,0,2019-12-01
P02,12025,11353,7737,4288,0,0,7371,3982,0,0,118,125,0,2019-12-01
P03,14919,14322,10450,4469,0,0,10022,4300,0,0,172,122,0,2019-12-01
P04,22657,21825,13385,9067,205,0,12911,8722,192,0,228,183,0,2019-12-01
P05,12729,12148,7367,5136,226,0,7146,4793,209,0,198,117,0,2019-12-01
P06,25979,24920,17108,8866,5,0,16574,8341,5,0,266,200,0,2019-12-01
P07,9693,9267,6913,2218,562,0,6566,2165,536,0,94,94,0,2019-12-01
P08,15013,14444,9854,5050,109,0,9558,4792,94,0,175,99,0,2019-12-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2019-12-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2019-12-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2019-12-01
P01,8644,8029,6505,2108,0,31,6058,1953,0,18,188,90,0,2020-01-01
P02,12025,11352,7737,4288,0,0,7370,3982,0,0,118,123,0,2020-01-01
P03,14919,14322,10450,4469,0,0,10022,4300,0,0,172,123,0,2020-01-01
P04,22663,21829,13385,9073,205,0,12909,8728,192,0,228,184,0,2020-01-01
P05,12727,12145,7367,5134,226,0,7144,4792,209,0,198,117,0,2020-01-01
P06,25938,24874,17069,8864,5,0,16537,8332,5,0,266,200,0,2020-01-01
P07,9698,9270,6918,2218,562,0,6574,2162,534,0,95,94,0,2020-01-01
P08,15010,14447,9854,5047,109,0,9557,4796,94,0,175,99,0,2020-01-01
P09,3815,3668,0,3815,0,0,0,3668,0,0,47,65,0,2020-01-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-01-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-01-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-01-01
P01,8640,8028,6503,2106,0,31,6059,1951,0,18,187,90,0,2020-02-01
P02,12025,11353,7733,4292,0,0,7367,3986,0,0,118,123,0,2020-02-01
P03,14918,14325,10449,4469,0,0,10022,4303,0,0,173,123,0,2020-02-01
P04,22679,21839,13401,9073,205,0,12923,8724,192,0,226,184,0,2020-02-01
P05,12725,12146,7366,5133,226,0,7145,4792,209,0,198,117,0,2020-02-01
P06,25930,24873,17062,8863,5,0,16536,8332,5,0,266,200,0,2020-02-01
P07,9739,9311,6937,2240,562,0,6593,2184,534,0,96,94,0,2020-02-01
P08,15011,14445,9855,5047,109,0,9555,4796,94,0,175,98,0,2020-02-01
P09,3812,3661,0,3812,0,0,0,3661,0,0,47,65,0,2020-02-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-02-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-02-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-02-01
P01,8625,8027,6528,2097,0,0,6083,1944,0,0,187,90,0,2020-03-01
P02,12026,11400,7734,4292,0,0,7366,4034,0,0,118,112,0,2020-03-01
P03,14915,14327,10446,4469,0,0,10022,4305,0,0,172,123,0,2020-03-01
P04,22644,21810,13366,9073,205,0,12893,8725,192,0,227,184,0,2020-03-01
P05,12728,12148,7369,5257,102,0,7148,4912,88,0,198,117,0,2020-03-01
P06,25931,24873,17063,8863,5,0,16537,8331,5,0,267,200,0,2020-03-01
P07,9752,9327,6937,2253,562,0,6594,2197,536,0,96,94,0,2020-03-01
P08,15010,14447,9854,5047,109,0,9557,4796,94,0,175,98,0,2020-03-01
P09,3810,3661,0,3810,0,0,0,3661,0,0,47,65,0,2020-03-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-03-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-03-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-03-01
P01,8625,8027,6528,2097,0,0,6083,1944,0,0,187,90,0,2020-04-01
P02,12020,11394,8264,3756,0,0,7880,3514,0,0,118,112,0,2020-04-01
P03,14934,14343,10465,4469,0,0,10039,4304,0,0,174,123,0,2020-04-01
P04,22625,21788,13333,9090,202,0,12858,8738,192,0,227,184,0,2020-04-01
P05,12728,12148,7369,5257,102,0,7148,4912,88,0,198,117,0,2020-04-01
P06,25929,24869,17059,8865,5,0,16532,8332,5,0,267,200,0,2020-04-01
P07,9746,9330,6937,2253,556,0,6594,2197,539,0,96,94,0,2020-04-01
P08,15008,14444,9854,5045,109,0,9555,4795,94,0,175,98,0,2020-04-01
P09,3810,3661,0,3810,0,0,0,3661,0,0,47,65,0,2020-04-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-04-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-04-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-04-01
P01,8625,8027,6528,2097,0,0,6083,1944,0,0,187,89,0,2020-05-01
P02,12020,11392,8264,3756,0,0,7877,3515,0,0,118,113,0,2020-05-01
P03,14970,14376,10499,4471,0,0,10071,4305,0,0,175,123,0,2020-05-01
P04,22615,21767,13331,9082,202,0,12849,8726,192,0,228,185,0,2020-05-01
P05,12750,12164,7391,5257,102,0,7165,4911,88,0,198,117,0,2020-05-01
P06,25924,24869,17054,8865,5,0,16534,8330,5,0,267,200,0,2020-05-01
P07,9753,9335,6936,2253,564,0,6591,2197,547,0,97,94,0,2020-05-01
P08,15008,14446,9854,5045,109,0,9556,4796,94,0,175,97,0,2020-05-01
P09,3810,3662,0,3810,0,0,0,3662,0,0,47,65,0,2020-05-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-05-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-05-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-05-01
P01,8622,8024,6525,2097,0,0,6080,1944,0,0,187,89,0,2020-06-01
P02,12020,11393,8264,3756,0,0,7876,3517,0,0,118,113,0,2020-06-01
P03,14958,14366,10498,4460,0,0,10071,4295,0,0,176,123,0,2020-06-01
P04,22633,21791,13334,9097,202,0,12856,8743,192,0,228,185,0,2020-06-01
P05,12750,12163,7391,5257,102,0,7165,4910,88,0,198,117,0,2020-06-01
P06,25923,24874,17030,8888,5,0,16521,8348,5,0,267,201,0,2020-06-01
P07,9763,9347,6939,2253,569,2,6601,2196,550,0,97,94,0,2020-06-01
P08,15008,14446,9854,5045,109,0,9555,4797,94,0,175,97,0,2020-06-01
P09,3809,3661,0,3809,0,0,0,3661,0,0,47,65,0,2020-06-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-06-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-06-01
P22,126,120,0,0,126,0,0,0,120,0,4,3,0,2020-06-01
P01,8616,8018,6523,2093,0,0,6079,1939,0,0,189,89,0,2020-07-01
P02,12021,11392,8271,3750,0,0,7881,3511,0,0,118,113,0,2020-07-01
P03,14958,14370,10498,4460,0,0,10073,4297,0,0,176,123,0,2020-07-01
P04,22632,21792,13333,9097,202,0,12855,8745,192,0,228,185,0,2020-07-01
P05,12749,12161,7390,5257,102,0,7163,4910,88,0,198,117,0,2020-07-01
P06,25925,24883,17032,8888,5,0,16526,8352,5,0,267,201,0,2020-07-01
P07,9770,9353,6945,2254,569,2,6606,2197,550,0,97,94,0,2020-07-01
P08,15008,14448,9854,5045,109,0,9557,4797,94,0,175,98,0,2020-07-01
P09,3809,3661,0,3809,0,0,0,3661,0,0,47,65,0,2020-07-01
P13,61,56,0,0,61,0,0,0,56,0,5,2,0,2020-07-01
P16,20,18,0,0,20,0,0,0,18,0,2,1,0,2020-07-01
