date,Oblast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,XSUM,parent district
2019-12-01,P04,15300,195,1177,266,0,212,0,4501,21651,
2019-12-01,P05,8838,158,966,87,0,133,0,2400,12582,
2019-12-01,P05.0,5019,17,168,20,0,133,0,1848,7205,P05
2019-12-01,P05.1,1428,63,482,36,0,0,0,175,2184,P05
2019-12-01,P05.2,990,39,99,8,0,0,0,127,1263,P05
2019-12-01,P05.3,77,0,21,0,0,0,0,7,105,P05
2019-12-01,P05.4,901,28,176,23,0,0,0,135,1263,P05
2019-12-01,P05.5,373,11,17,0,0,0,0,99,500,P05
2019-12-01,P05.6,50,0,3,0,0,0,0,9,62,P05
2019-12-01,P06,19134,180,1279,107,0,187,1,6140,27028,
2019-12-01,P07,8767,72,550,94,0,71,0,2160,11714,
2019-12-01,P08,10744,100,732,160,0,134,6,4014,15890,
2019-12-01,P08.0,4408,6,101,22,0,134,6,2223,6900,P08
2019-12-01,P08.1,1081,18,302,39,0,0,0,132,1572,P08
2019-12-01,P08.2,1135,19,114,72,0,0,0,174,1514,P08
2019-12-01,P08.3,4120,57,215,27,0,0,0,1485,5904,P08
2020-01-01,P01,5553,94,2439,1041,0,407,148,1684,11366,
2020-01-01,P02,9651,79,1325,192,0,170,60,2513,13990,
2020-01-01,P03,13707,99,840,184,0,114,0,3555,18499,
2020-01-01,P04,15701,206,1233,270,0,236,0,4645,22291,
2020-01-01,P05,8974,160,987,94,0,155,0,2444,12814,
2020-01-01,P05.0,5103,18,173,20,0,155,0,1889,7358,P05
2020-01-01,P05.1,1431,62,493,39,0,0,0,172,2197,P05
2020-01-01,P05.2,1015,40,100,10,0,0,0,129,1294,P05
2020-01-01,P05.3,77,0,21,0,0,0,0,7,105,P05
2020-01-01,P05.4,923,30,180,25,0,0,0,138,1296,P05
2020-01-01,P05.5,378,10,18,0,0,0,0,99,505,P05
2020-01-01,P05.6,47,0,2,0,0,0,0,10,59,P05
2020-01-01,P06,19319,191,1314,117,0,205,1,6213,27361,
2020-01-01,P07,8768,74,577,99,0,80,0,2163,11761,
2020-01-01,P08,10819,100,749,165,0,146,7,4029,16015,
2020-01-01,P08.0,4439,7,102,21,0,146,7,2230,6952,P08
2020-01-01,P08.1,1091,20,309,42,0,0,0,132,1594,P08
2020-01-01,P08.2,1143,20,122,74,0,0,0,178,1537,P08
2020-01-01,P08.3,4146,53,216,28,0,0,0,1489,5932,P08
2020-01-01,P09,2476,44,236,41,0,8,37,500,3342,
2020-01-01,P09.0,2476,44,236,41,0,8,37,500,3342,P09
2020-02-01,P01,5559,94,2470,1048,0,442,149,1690,11452,
2020-02-01,P02,9695,81,1342,188,0,182,61,2522,14071,
2020-02-01,P03,13726,99,853,185,0,124,0,3573,18560,
2020-02-01,P04,15979,211,1273,271,0,261,0,4727,22722,
2020-02-01,P05,9057,163,999,96,0,167,0,2466,12948,
2020-02-01,P05.0,5164,19,175,20,0,167,0,1915,7460,P05
2020-02-01,P05.1,1433,63,500,41,0,0,0,168,2205,P05
2020-02-01,P05.2,1027,41,100,10,0,0,0,131,1309,P05
2020-02-01,P05.3,79,0,21,0,0,0,0,7,107,P05
2020-02-01,P05.4,935,31,182,25,0,0,0,135,1308,P05
2020-02-01,P05.5,372,9,19,0,0,0,0,100,500,P05
2020-02-01,P05.6,47,0,2,0,0,0,0,10,59,P05
2020-02-01,P06,19336,195,1325,117,0,221,1,6267,27463,
2020-02-01,P07,8812,75,576,112,0,84,0,2170,11829,
2020-02-01,P08,10936,103,759,166,0,155,8,4059,16186,
2020-02-01,P08.0,4505,6,102,21,0,155,7,2254,7050,P08
2020-02-01,P08.1,1110,20,313,41,0,0,0,133,1617,P08
2020-02-01,P08.2,1152,21,126,76,0,0,1,175,1551,P08
2020-02-01,P08.3,4169,56,218,28,0,0,0,1497,5968,P08
2020-02-01,P09,2622,45,254,42,0,13,38,518,3532,
2020-02-01,P09.0,2622,45,254,42,0,13,38,518,3532,P09
2020-03-01,P01,5402,90,2404,964,0,464,149,1662,11135,
2020-03-01,P02,9357,77,1300,180,0,188,61,2526,13689,
2020-03-01,P03,13405,92,829,184,0,128,0,3541,18180,
2020-03-01,P04,15990,207,1265,272,0,267,0,4756,22757,
2020-03-01,P05,8971,159,984,91,0,178,0,2446,12829,
2020-03-01,P05.0,5129,20,173,20,0,178,0,1903,7423,P05
2020-03-01,P05.1,1405,64,495,36,0,0,0,166,2166,P05
2020-03-01,P05.2,1016,38,95,10,0,0,0,128,1287,P05
2020-03-01,P05.3,75,0,19,0,0,0,0,7,101,P05
2020-03-01,P05.4,936,27,181,25,0,0,0,133,1302,P05
2020-03-01,P05.5,363,10,19,0,0,0,0,99,491,P05
2020-03-01,P05.6,47,0,2,0,0,0,0,10,59,P05
2020-03-01,P06,19111,186,1287,111,0,232,1,6240,27169,
2020-03-01,P07,8603,75,556,95,0,88,0,2140,11557,
2020-03-01,P08,10844,101,744,163,0,164,7,4057,16080,
2020-03-01,P08.0,4461,6,100,21,0,164,6,2252,7010,P08
2020-03-01,P08.1,1099,19,307,40,0,0,0,133,1598,P08
2020-03-01,P08.2,1141,21,123,75,0,0,1,174,1535,P08
2020-03-01,P08.3,4143,55,214,27,0,0,0,1498,5937,P08
2020-03-01,P09,2682,44,258,43,0,14,38,528,3607,
2020-03-01,P09.0,2682,44,258,43,0,14,38,528,3607,P09
