date,Oblast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,XSUM,parent district,CELKEM_PS,PS_ZPS,RES_PS,MIX_PS,VIS_PS,OTH_PS,RES_PS_ZPS,MIX_PS_ZPS,VIS_PS_ZPS,OTH_PS_ZPS,POCINVST,PA_cnt,IB_cnt
2020-08-01,P06,20100.0,195.0,1351.0,111.0,0.0,255.0,1.0,6530.0,28547.0,,25895.0,24859.0,17088.0,8802.0,5.0,0.0,16579.0,8275.0,5.0,0.0,267.0,190.0,10.0
2020-08-01,P07,9090.0,84.0,653.0,101.0,0.0,91.0,0.0,2148.0,12167.0,,9713.0,9295.0,6948.0,2194.0,569.0,2.0,6607.0,2138.0,550.0,0.0,98.0,94.0,0.0
2020-08-01,P08,11373.0,110.0,801.0,174.0,0.0,181.0,7.0,4148.0,16794.0,,15001.0,14430.0,9854.0,5038.0,109.0,0.0,9552.0,4784.0,94.0,0.0,178.0,98.0,0.0
2020-08-01,P08.0,4698.0,7.0,111.0,25.0,0.0,181.0,6.0,2306.0,7334.0,P08,,,,,,,,,,,,,
2020-08-01,P08.1,1153.0,19.0,342.0,50.0,0.0,0.0,0.0,134.0,1698.0,P08,,,,,,,,,,,,,
2020-08-01,P08.2,1220.0,23.0,134.0,72.0,0.0,0.0,1.0,180.0,1630.0,P08,,,,,,,,,,,,,
2020-08-01,P08.3,4302.0,61.0,214.0,27.0,0.0,0.0,0.0,1528.0,6132.0,P08,,,,,,,,,,,,,
2020-08-01,P09,2971.0,42.0,267.0,39.0,0.0,21.0,41.0,581.0,3962.0,,3809.0,3656.0,0.0,3809.0,0.0,0.0,0.0,3656.0,0.0,0.0,47.0,65.0,0.0
2020-08-01,P09.0,2971.0,42.0,267.0,39.0,0.0,21.0,41.0,581.0,3962.0,P09,,,,,,,,,,,,,
2020-08-01,P10,6039.0,157.0,477.0,65.0,0.0,6.0,0.0,1561.0,8305.0,,9286.0,8938.0,5435.0,3817.0,34.0,0.0,5256.0,3648.0,34.0,0.0,63.0,50.0,0.0
2020-08-01,P10.0,3643.0,24.0,121.0,29.0,0.0,6.0,0.0,1205.0,5028.0,P10,,,,,,,,,,,,,
2020-08-01,P10.1,2395.0,133.0,356.0,36.0,0.0,0.0,0.0,356.0,3276.0,P10,,,,,,,,,,,,,
2020-08-01,P10.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,P10,,,,,,,,,,,,,
2020-09-01,P01,5716.0,101.0,2618.0,1058.0,0.0,497.0,150.0,1753.0,11893.0,,8567.0,7968.0,6514.0,2053.0,0.0,0.0,6075.0,1893.0,0.0,0.0,188.0,89.0,0.0
2020-09-01,P02,10069.0,90.0,1449.0,187.0,0.0,220.0,66.0,2629.0,14711.0,,11989.0,11356.0,8249.0,3740.0,0.0,0.0,7855.0,3501.0,0.0,0.0,119.0,113.0,0.0
2020-09-01,P03,14353.0,130.0,907.0,191.0,0.0,139.0,0.0,3686.0,19407.0,,14987.0,14398.0,11568.0,3419.0,0.0,0.0,11109.0,3289.0,0.0,0.0,175.0,102.0,10.0
2020-09-01,P04,16645.0,211.0,1314.0,271.0,0.0,275.0,0.0,4953.0,23670.0,,22628.0,21791.0,13329.0,9097.0,202.0,0.0,12853.0,8746.0,192.0,0.0,227.0,185.0,0.0
2020-09-01,P05,9692.0,182.0,1038.0,94.0,0.0,178.0,0.0,2559.0,13744.0,,12719.0,12131.0,7377.0,5240.0,102.0,0.0,7150.0,4893.0,88.0,0.0,198.0,116.0,0.0
2020-09-01,P05.0,5679.0,23.0,190.0,20.0,0.0,178.0,0.0,1999.0,8090.0,P05,,,,,,,,,,,,,
2020-09-01,P05.1,1471.0,70.0,521.0,32.0,0.0,0.0,0.0,168.0,2262.0,P05,,,,,,,,,,,,,
2020-09-01,P05.2,1068.0,43.0,99.0,18.0,0.0,0.0,0.0,134.0,1362.0,P05,,,,,,,,,,,,,
