date,kod_useku,POP_CELKEM,pop_rezidentska,pop_vlastnicka,pop_abonentska,pop_prenosna,pop_carsharing,pop_ekologicka,pop_ostatni,pop_socialni
2019-03-31,P10-0237,2,0,0,0,0,0,2,0,0
2019-03-31,P10-0239,3,0,0,0,0,0,0,3,0
2019-03-31,P10-0245,2,0,0,0,2,0,0,0,0
2019-03-31,P10-0247,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0249,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0252,2,0,0,0,0,0,1,1,0
2019-03-31,P10-0254,2,0,0,0,0,0,0,2,0
2019-03-31,P10-0257,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0261,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0262,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0273,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0274,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0275,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0286,3,1,0,0,0,0,0,1,1
2019-03-31,P10-0287,5,3,0,0,0,0,0,1,1
2019-03-31,P10-0288,1,1,0,0,0,0,0,0,0
2019-03-31,P10-0289,4,1,0,2,0,0,0,1,0
2019-03-31,P10-0291,14,6,0,0,0,0,1,2,5
2019-03-31,P10-0293,41,27,0,1,0,0,0,0,13
2019-03-31,P10-0294,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0295,1,0,0,1,0,0,0,0,0
2019-03-31,P10-0296,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0299,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0300,11,0,0,0,0,0,11,0,0
2019-03-31,P10-0302,17,10,0,2,1,0,1,1,2
2019-03-31,P10-0305,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0310,16,10,0,2,0,0,0,0,4
2019-03-31,P10-0321,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0326,2,0,0,0,0,0,0,2,0
2019-03-31,P10-0333,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0335,2,0,0,0,0,0,1,1,0
2019-03-31,P10-0336,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0338,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0356,1,0,0,1,0,0,0,0,0
2019-03-31,P10-0361,1,0,0,0,0,0,0,0,1
2019-03-31,P10-0365,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0369,1,0,0,0,0,0,1,0,0
2019-03-31,P10-0372,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0375,60,0,0,0,0,0,20,40,0
2019-03-31,P10-0377,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0401,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0413,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0416,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0424,2,0,1,0,0,0,0,1,0
2019-03-31,P10-0425,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0429,2,0,0,0,0,0,1,1,0
2019-03-31,P10-0432,1,0,0,0,0,0,0,1,0
2019-03-31,P10-0450,4,0,0,0,0,0,1,3,0
2019-03-31,P10-0454,1,0,0,0,0,0,0,1,0
