kod_zsj,nazev_zsj,obyvatel,parkovacich_mist_celkem,parkovacich_mist_v_zps,respektovanost_pct,obsazenost_pct,rezidenti_do_500m_pct,rezidenti_do_125m_pct,rezidenti_od_126m_do_500m_pct,rezidenti_od_501m_do_2000m_pct,rezidenti_nad_2000m_pct,navstevnici_platici_pct,navstevnici_neplatici_pct,volna_mista_pct,rezidentska_pct,vlastnicka_pct,abonentska_pct,prenosna_pct,carsharing_pct,ekologicka_pct,ostatni_pct,socialni_pct,část dne,mestska_cast,filename,date,frekvence,navstevnici_pct,soucet_vsech_typu_pct,navstevnici_neplatici,rezidentska,navstevnici_platici,abonentska,rezidenti_do_125m,rezidenti_nad_2000m,volna_mista,ekologicka,navstevnici,soucet_vsech_typu,carsharing,rezidenti_od_501m_do_2000m,respektovanost,prenosna,vlastnicka,socialni,ostatni,obsazenost,rezidenti_do_500m,rezidenti_od_126m_do_500m
127574,U Rajské zahrady,50,9,9,1.0,0.52,0.18,0.02,0.08,0.19,0.02,0.02,0.0,0.48,0.27,0.0,0.03,0.0,0.0,0.02,0.0,0.0,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.02,0.82,0.0,2.43,0.18,0.27,0.18,0.18,4.32,0.18,0.18,7.38,0.0,1.71,9.0,0.0,0.0,0.0,0.0,4.68,1.6199999999999999,0.72
127230,Riegrovy sady,0,281,269,0.85,0.84,0.54,0.34,0.11,0.06,0.01,0.17,0.13,0.16,0.41,0.0,0.03,0.0,0.0,0.02,0.0,0.07,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.3,0.99,36.53,115.21,47.77,8.43,95.54,2.81,44.96,5.62,84.3,278.19,0.0,16.86,238.85,0.0,0.0,19.67,0.0,236.04,151.74,30.91
127248,U Riegrových sadů,4509,722,695,0.86,0.93,0.71,0.56,0.09,0.07,0.02,0.03,0.13,0.07,0.56,0.0,0.05,0.0,0.0,0.02,0.0,0.12,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.16,0.98,93.86,404.32000000000005,21.66,36.1,404.32000000000005,14.44,50.540000000000006,14.44,115.52,707.56,0.0,50.540000000000006,620.92,0.0,0.0,86.64,0.0,671.46,512.62,64.98
127256,U Čechových sadů,4971,1334,1288,0.89,0.93,0.74,0.58,0.11,0.05,0.01,0.06,0.1,0.07,0.57,0.0,0.04,0.0,0.0,0.02,0.0,0.13,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.16,0.99,133.4,760.3799999999999,80.03999999999999,53.36,773.7199999999999,13.34,93.38000000000001,26.68,213.44,1320.66,0.0,66.7,1187.26,0.0,0.0,173.42000000000002,0.0,1240.6200000000001,987.16,146.74
127299,Nuselské údolí,4269,1028,888,0.83,0.75,0.71,0.47,0.07,0.04,0.0,0.03,0.13,0.25,0.45,0.0,0.03,0.0,0.0,0.01,0.0,0.09,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.16,0.99,133.64000000000001,462.6,30.84,30.84,483.15999999999997,0.0,257.0,10.28,164.48,1017.72,0.0,41.12,853.24,0.0,0.0,92.52,0.0,771.0,729.88,71.96000000000001
127302,Vyšehrad,2134,543,518,0.81,0.71,0.68,0.41,0.07,0.03,0.0,0.04,0.13,0.29,0.43,0.0,0.04,0.0,0.0,0.01,0.0,0.05,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.17,0.99,70.59,233.49,21.72,21.72,222.63,0.0,157.47,5.43,92.31,537.57,0.0,16.29,439.83000000000004,0.0,0.0,27.150000000000002,0.0,385.53,369.24,38.010000000000005
127311,Podskalí,2838,809,765,0.83,0.84,0.66,0.48,0.07,0.05,0.01,0.07,0.15,0.16,0.43,0.0,0.05,0.0,0.0,0.02,0.0,0.12,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.22,1.0,121.35,347.87,56.63,40.45,388.32,8.09,129.44,16.18,177.98,809.0,0.0,40.45,671.4699999999999,0.0,0.0,97.08,0.0,679.56,533.94,56.63
127329,Zderaz,3395,750,718,0.83,0.97,0.64,0.54,0.09,0.1,0.01,0.05,0.16,0.03,0.5,0.0,0.07,0.01,0.0,0.02,0.0,0.15,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.22,1.0,120.0,375.0,37.5,52.50000000000001,405.0,7.5,22.5,15.0,165.0,750.0,0.0,75.0,622.5,7.5,0.0,112.5,0.0,727.5,480.0,67.5
127264,Havlíčkovy sady,14,54,54,0.87,0.83,0.8,0.6,0.06,0.03,0.01,0.02,0.11,0.17,0.57,0.0,0.03,0.0,0.0,0.01,0.0,0.1,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.13,1.01,5.94,30.779999999999998,1.08,1.6199999999999999,32.4,0.54,9.180000000000001,0.54,7.0200000000000005,54.54,0.0,1.6199999999999999,46.98,0.0,0.0,5.4,0.0,44.82,43.2,3.2399999999999998
127272,Na Kleovce,4633,1109,1041,0.85,0.9,0.72,0.54,0.11,0.05,0.0,0.03,0.13,0.1,0.52,0.01,0.04,0.01,0.0,0.01,0.0,0.13,den,P2,P02-OR_202311D_NJ.json,2023-11-30,měsíční,0.17,0.99,144.17000000000002,576.6800000000001,33.269999999999996,44.36,598.86,0.0,110.9,11.09,188.53,1097.91,0.0,55.45,942.65,11.09,11.09,144.17000000000002,0.0,998.1,798.48,121.99
