date,mestska_cast,POP_R,POP_V,POP_A,POP_P,POP_C,POP_E,POP_O,POP_S,POP_CELKEM,CELKEM_PS,PS_ZPS,RES_PS,MIX_PS,VIS_PS,OTH_PS,RES_PS_ZPS,MIX_PS_ZPS,VIS_PS_ZPS,OTH_PS_ZPS,POCINVST,PA_cnt,IB_cnt
2019-10-01,P03,13537.0,106.0,816.0,193.0,0.0,71.0,0.0,3538.0,18261.0,14918.0,14322.0,10458.0,4460.0,0.0,0.0,10030.0,4292.0,0.0,0.0,172.0,122.0,0.0
2019-10-01,P04,12387.0,165.0,908.0,197.0,0.0,158.0,0.0,3782.0,17597.0,16316.0,15627.0,8599.0,7488.0,229.0,0.0,8229.0,7184.0,214.0,0.0,194.0,141.0,0.0
2019-10-01,P05,7615.0,127.0,901.0,85.0,0.0,96.0,0.0,2150.0,10974.0,10129.0,9566.0,4881.0,5022.0,226.0,0.0,4689.0,4671.0,206.0,0.0,191.0,112.0,0.0
2019-10-01,P06,17667.0,151.0,1150.0,101.0,0.0,134.0,1.0,5750.0,24954.0,21879.0,20907.0,13520.0,8354.0,5.0,0.0,13056.0,7846.0,5.0,0.0,250.0,188.0,0.0
2019-10-01,P07,8690.0,67.0,540.0,98.0,0.0,51.0,0.0,2144.0,11590.0,9715.0,9290.0,6917.0,2218.0,580.0,0.0,6571.0,2165.0,554.0,0.0,94.0,95.0,0.0
2019-10-01,P08,10641.0,101.0,721.0,166.0,0.0,96.0,5.0,3925.0,15655.0,14983.0,14410.0,9824.0,5050.0,109.0,0.0,9525.0,4791.0,94.0,0.0,175.0,99.0,0.0
2019-11-01,P01,5579.0,97.0,2402.0,1097.0,0.0,315.0,152.0,1679.0,11321.0,8641.0,8019.0,6499.0,2111.0,0.0,31.0,6045.0,1956.0,0.0,18.0,189.0,90.0,0.0
2019-11-01,P02,9749.0,84.0,1335.0,191.0,0.0,144.0,60.0,2541.0,14104.0,12025.0,11352.0,7687.0,4338.0,0.0,0.0,7327.0,4025.0,0.0,0.0,118.0,125.0,0.0
2019-11-01,P03,13624.0,100.0,834.0,193.0,0.0,87.0,0.0,3545.0,18383.0,14927.0,14330.0,10458.0,4469.0,0.0,0.0,10030.0,4300.0,0.0,0.0,171.0,122.0,0.0
2019-11-01,P04,13050.0,174.0,945.0,208.0,0.0,187.0,0.0,4011.0,18575.0,16316.0,15625.0,8599.0,7488.0,229.0,0.0,8228.0,7183.0,214.0,0.0,194.0,141.0,0.0
2019-11-01,P05,8731.0,155.0,969.0,87.0,0.0,116.0,0.0,2378.0,12436.0,12742.0,12149.0,7380.0,5136.0,226.0,0.0,7159.0,4784.0,206.0,0.0,198.0,117.0,0.0
2019-11-01,P06,19020.0,177.0,1285.0,107.0,0.0,169.0,1.0,6089.0,26848.0,25979.0,24920.0,17108.0,8866.0,5.0,0.0,16574.0,8341.0,5.0,0.0,266.0,200.0,0.0
2019-11-01,P07,8737.0,70.0,558.0,99.0,0.0,67.0,0.0,2150.0,11681.0,9715.0,9289.0,6917.0,2218.0,580.0,0.0,6570.0,2165.0,554.0,0.0,94.0,95.0,0.0
2019-11-01,P08,10726.0,102.0,739.0,162.0,0.0,118.0,6.0,3977.0,15830.0,14979.0,14406.0,9820.0,5050.0,109.0,0.0,9521.0,4791.0,94.0,0.0,175.0,99.0,0.0
