house_code,usek_code
21700249,P1-0163
21700265,P1-0192
21700273,P5-1418
21700290,P1-0174
21700303,P1-0160
21700311,P1-0163
21700354,P1-0179
21700362,P1-0150
21700397,P1-0164
21700494,P1-0211
21700508,P1-0159
21700524,P1-0158
21700541,P1-0157
21700559,P1-0157
21700575,P1-0157
21700583,P1-0159
21700605,P1-0156
21700621,P1-0156
21700648,P1-0156
21700656,P1-0211
21700664,P1-0211
21700672,P1-0139
21700681,P1-0211
21700702,P1-0201
21700711,P1-0201
21700729,P1-0201
21700737,P1-0182
21700753,P1-0211
21700770,P1-0171
21700788,P1-0191
21700796,P1-0191
21700851,P1-0414
21700877,P1-0608
21700885,P1-0425
21700893,P1-0425
21700907,P1-0425
21700915,P1-0425
21700923,P1-0425
21700931,P1-0425
21700940,P1-0425
21700958,P1-0425
21700966,P1-0422
21700974,P1-0422
21700991,P1-0419
21701016,P1-0419
21701041,P1-0612
21701105,P1-0377
21701130,P1-0415
21701148,P1-0415
21701199,P1-0415
21701202,P1-0415
21701211,P1-0415
21701245,P1-0417
21701253,P1-0377
21701261,P1-0377
21701270,P1-0377
21701288,P1-0377
21701296,P1-0377
21701342,P1-0567
21701351,P1-0417
21701377,P1-0411
21701407,P1-0411
21701415,P1-0411
21701482,P1-0411
21701491,P1-0412
21701504,P1-0412
21701512,P1-0411
21701521,P1-0411
21701539,P1-0411
21701547,P1-0411
21701555,P1-0411
21701563,P1-0411
21701571,P1-0411
21701580,P1-0411
21701598,P1-0411
21701601,P1-0411
21701628,P1-0411
21701636,P1-0411
21701644,P1-0411
21701652,P1-0411
21701661,P1-0411
21701709,P1-0411
21701717,P1-0411
21701725,P1-0411
21701733,P1-0411
21701750,P1-0375
21701768,P1-0375
21701784,P1-0375
21701792,P1-0375
21701822,P1-0375
21701857,P1-0375
21701873,P1-0381
21701881,P1-0381
21701890,P1-0381
21701903,P1-0381
21701920,P1-0381
21701946,P1-0381
21701962,P1-0406
21701971,P1-0382
21702004,P1-0382
21702047,P1-0381
21702063,P1-0381
21702071,P1-0375
21702152,P1-0382
21702161,P1-0382
21702195,P1-0382
21702217,P1-0387
21702225,P1-0384
21702233,P1-0384
21702241,P1-0384
